//Tianxin Zhou

19/03/21 00:17:18 INFO client.RMProxy: Connecting to ResourceManager at hadoop2-m/10.138.0.8:8032
19/03/21 00:17:18 INFO client.AHSProxy: Connecting to Application History server at hadoop2-m/10.138.0.8:10200
19/03/21 00:17:19 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
19/03/21 00:17:20 INFO input.FileInputFormat: Total input files to process : 74
19/03/21 00:17:20 INFO mapreduce.JobSubmitter: number of splits:74
19/03/21 00:17:20 INFO Configuration.deprecation: yarn.resourcemanager.system-metrics-publisher.enabled is deprecated. Instead, use yarn.system-metrics-publisher.enabled
19/03/21 00:17:20 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1553118169127_0008
19/03/21 00:17:21 INFO impl.YarnClientImpl: Submitted application application_1553118169127_0008
19/03/21 00:17:21 INFO mapreduce.Job: The url to track the job: http://hadoop2-m:8088/proxy/application_1553118169127_0008/
19/03/21 00:17:21 INFO mapreduce.Job: Running job: job_1553118169127_0008
19/03/21 00:17:27 INFO mapreduce.Job: Job job_1553118169127_0008 running in uber mode : false
19/03/21 00:17:27 INFO mapreduce.Job:  map 0% reduce 0%
19/03/21 00:17:46 INFO mapreduce.Job:  map 3% reduce 0%
19/03/21 00:17:47 INFO mapreduce.Job:  map 5% reduce 0%
19/03/21 00:17:48 INFO mapreduce.Job:  map 10% reduce 0%
19/03/21 00:18:11 INFO mapreduce.Job:  map 11% reduce 0%
19/03/21 00:18:12 INFO mapreduce.Job:  map 12% reduce 0%
19/03/21 00:18:17 INFO mapreduce.Job:  map 13% reduce 0%
19/03/21 00:18:18 INFO mapreduce.Job:  map 14% reduce 0%
19/03/21 00:18:19 INFO mapreduce.Job:  map 15% reduce 0%
19/03/21 00:18:27 INFO mapreduce.Job:  map 16% reduce 0%
19/03/21 00:18:29 INFO mapreduce.Job:  map 17% reduce 0%
19/03/21 00:18:34 INFO mapreduce.Job:  map 18% reduce 0%
19/03/21 00:18:37 INFO mapreduce.Job:  map 19% reduce 0%
19/03/21 00:18:38 INFO mapreduce.Job:  map 21% reduce 0%
19/03/21 00:18:39 INFO mapreduce.Job:  map 22% reduce 0%
19/03/21 00:18:40 INFO mapreduce.Job:  map 24% reduce 0%
19/03/21 00:18:41 INFO mapreduce.Job:  map 25% reduce 0%
19/03/21 00:18:48 INFO mapreduce.Job:  map 26% reduce 0%
19/03/21 00:19:00 INFO mapreduce.Job:  map 27% reduce 0%
19/03/21 00:19:04 INFO mapreduce.Job:  map 29% reduce 0%
19/03/21 00:19:06 INFO mapreduce.Job:  map 30% reduce 0%
